ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=20m
1,What is the capital of India,Mumbai,Chennai,New Delhi,Kolkata,3,5,-1,n,
2,4+4 =,4,7,9,8,4,4,-1,y,
3,Capital of France,Paris,Patna,Amhara,London,1,8,-2,n,
4,1 cubic meter = __litre,100,1000,10000,10,2,4,-1,y,
5,S.I Units of pressure,Newton,Joule,Pascal,Angstrom,3,4,-2,y,
6,The Largest Planet in Solar System,Saturn,Earth,Venus,Jupiter,4,4,-1,n,
7,Refractive index of Diamond,2.42,2.39,1.39,1.52,1,4,-1,y,
8,1 atm = __ mm of Hg ,740,730,780,760,4,4,-1,n,
9,value of 5!(factorial),720,120,140,160,2,5,-1,y,
10,"Which is known as ""Pink City"" in India",Bangalore,Mumbai,Jaipur,Patna,3,4,-1,n,
